# Erdal Ronahî <www.ferheng.org>
# Letzte Version: 2005-07-29
# Kurdisch	Deutsch
# Kurdî	Elmanî
-(y)a min,	mein
-(y)ê min	mein
-ek	ein
-istan	Land
-istan	Nachsilbe für Orte und Länder
-istan	Staat
-kar	Nachsilbe für handelnde Pers.
'am	allgemein
'am	Nation
'am	öffentlich
'am	Volk
'ar	Befangenheit
'ar	Entehrung
'ar	Schamgefühl
'ar	Schamhaftigkeit
'ar	Schande
'ar	Schmach
'ar	Verachtung
'eba	Mantel, der den Körper von Kopf bis Fuß bedeckt
'eba	Schulterumhang
'edet	Brauch
'edet	Gewohnheit
'edet	Sitte
'efû	Begnadigung
'efû	Entschuldigung
'efû	Verzeihung
'eleme	beunruhigt
'eleme	seelischer Kummer
'emame	Turban
'esrî teng	kurze Zeit des Nachmittagsgebetes
'esrî teng	nicht mehr weit zum Nachmittagsgebet
'eşerey mubeşşere	die zehn Gefährten, denen Mohammed das Paradies versprochen hat
'eyan	evident
'eyan	klar
'eyan	offenbar
'eyan	offensichtlich
'îbadet	Gottesanbetung
'îbadet	Gottesdienst
'îbadet	Gottesverehrung
(li vir)… heye?	gibt es	(hier)…?
(li) pêş	vorne)
a	ah!
a	oh!
a	so!
a niha	sofort
abadîn	ewig
abadîn	unsterblich
abone bûn	abonnieren
abor	Lebensunterhalt
abor	Unterhalt
abori	Wirtschaft
aborinas	Volkswirt
aborî	Ökonomie
aborî	Wirtschaft
aborî	wirtschaftlich
abûqat	Rechtsanwalt
aciz	ärgerlich
aciz	hilflos
aciz	kraftlos
aciz	machtlos
aciz	müde
aciz	schwach
aciz	traurig
acîz	gestört
ada	Insel
adan	fruchtbar
adan	Milchprodukt
adar	März
adet	Brauch
adet	Gewohnheit
adet	Sitte
adîlane	gerecht
adrês	Adresse
aferide	Geschöpf
aferim	bravo!
afirandin	erschaffen
afirandin	Opus
afirandin	Werk
afirandin <afirîn>	erfinden
afirandin <afirîn>	erschaffen
afirandin <afirîn>	erzeugen
afirandin <afirîn>	gründen
afirandin <afirîn>	hervorbringen
afirandin <afirîn>	ins Leben rufen
afirandin pêk anîn	ableiten
afirin	geschehen
afîş	Plakat
agahdakirin	berichten
agahdakirin	mitteilen
agahdar bûn	ahnen
agahdarî	Ahnung
agahdarî	Angabe
agahdarî	Ansage
agahdarî	Aufmerksamkeit
agahdarî	Kenntnis
agahî	Ahnung
agir	Feuer
agir berdan	anzünden
agir berdan	Feuer legen
agir berdan	in Brand setzen
agir kirin	anfeuern
agir kirin	Feuer machen
agir kirin	schießen
agir pê ketin	Feuer fangen
agirberdan	brennen
aha	also
aha	auch
aha	auf diese Weise!
aha	seht!
aha	so!
aheng	Harmonie
aheng	Konzert
aheng	Melodie
aheng	Rhythmus
aheng	Ton
ahil	alt
aj	Schößling
ajnaberî kirin	schwimmen
ajne kirin	schwimmen
ajneber	Schwimmer/in
ajnekirin	schwimmen
ajnî kirin	schwimmen
ajo	Motiv
ajotin	fahren
ajotin	Fahrer/in
ajotin	lenken
ajotin	reiten
ajotin	steuern
ajotin <ajo>	dauern
ak	wie
aks	Achse
akvaryum	Aquarium
al	Fahne
alale	Tulpe
alandin	einwickeln
alandin	umbinden, sich ~
alandin	umwickeln
alandin	wickeln
alaqadar bûn	berührt sein
alaqadar bûn	interessiert sein
alarm hewar	Alarm
alastin	lecken
alav	Instrument
