###########################
# Lîsteya îngilîzî-kurdî  #
# www.ferheng.org         #
# 5200 peyv               #
# Nûkirin: 2005-07-29     #
# Erdal Ronahî            #
# ferheng@ferheng.org     #
# license: GPL            #
###########################
-yek	an
(kurteya ADULT) filmên qedexe bo kesên ji 16-salî kêmtir	A
(kurteya ATOMIC) atomî	A
a (li fêrgehan baştirîn pile)	A
a/ê wî	his
abone	subscriber
abor	livelihood
abor	sustenance
aborî	economic
aborî	economically
aborî	economy
aborînas	economist
aca diran	dentine
acûr	russian cucumber
adan	abundant
adan	fecund
adan	fertile
adan	food
adan	fruitful
adan	nutriment
adet	number
adinê rojê	the day after
adinê rojê	the next day
afirandin	create
agahdarî	information
agahî	data
agahî	information
agir	fever
agir	fire
agirê pûş	quick passing flame or passion
agirê qoçan	lasting passion
agirê qoçan	slow burning fire
agirkujîn	fire car
agirkûjîn	fire department
agirsongî	fire car
agirsongî	fire department
ajans	agency
ajda	sprout
ajnekirin	float
ajo	impulse
ajo	incentive
ajo	motive
ajotin	drive
akar	ethics
akêr	load fixing bars
akêra sinriyê	axle holding pins
aktrîs	actress
al	banner
al	flag
al	standard
ala	flag
ala	standard
alale	tulip
alan	echo
alan dan	echo
alan dan	resound
alandin	tangle
alandin	tie
alastin	lick
alaşkirin	covering of the joists
alatên çandiniyê	agricultural instruments
alatên çandiniyê	tools
alav	agricultural instruments
alav	apparatus
alav	implement
alav	instrument
alav	tool
alav	tools
alayî	regiment
alfabe	alphabet
alifê vala	familiy without a head
alifê vala	woman after the menopause
alî	course
alî	direction
alî	side
alî	sides
alîgir	supporter
alîkar	aide
alîkarî	help
alîsor	pear
alos	tangle
alos	tie
aloz	broken
aloz	haywire
alozî	chaos
alûçe	sloe
alûs	dressy
alûs	elegant
alûs	fashionable
amade	ready
amajekirin	explain
amajekirin	state
aman	commodity
aman	pot
aman	pots and pans
aman	ware
amanc	aim
amanc	goal
amanc	purpose
amanc	target
amar	statistic
amede	equip
amede	ready
amojgeh	Institute 
amûr	apparatus
amûr	tool
amûret	agricultural instruments
amûret	tools
an	either
an	or
ananas	pineapple
angaşt	allegation 
angaşt	claim
anix	anise
anîbeş	ill-omened
anîbeş	ominous
anîn	bring
anîn	get
anînber	investment
anîneve	bring back
anîneve	take back
anînve	bring back
anînve	take back
anîreş	ill-omened
anîreş	ominous
anîs	anise
ap	uncle
apandîs	appendix
apore	appaled
apore	astounded
apore	shocked
apore	stunned
aqar	area
aqil	apprehension
aqil	brain
aqil	wit
aqilmend	clever
aqilmend	intelligent
aqilmend	sagacious
aqilmend	sage
aqilmend	shrewd
ar	fire
aram	calm
aram	easeful
aram	halcyon
aram	quiescent
aram	quiet
aram	silent
aram	still
aram	stilly
aram	tranquil
aram	unruffled
aramdar	sedative
aramî	peace
aramî	quiet
aramî	sereneness
aramî	silence
aran	desert (land)
ard	flour
ardû	fuel
argûn	stove
arî	cinder
arîkar	aide
arîkarî	aid
arîse	issue
arîse	problem
arîşan	morale
armanc	aim
armanc	destination
armanc	end
armanc	goal
armanc	object
armanc	purpose
armanc	target
arsim	flu (disease)
arû (Sor.)	cucumber 
arvan	flour
asa	normal
asan	facile
asan	plain
asan	simple
asayî	normal
asê	steep
asêkirin	lock
asêkirin	shut
asîman	heaven
asîman	sky
aso	horizon
aso 	horizon
ast	level
asteng	difficulty
asûde	calm
asûde	easeful
asûde	halcyon
asûde	quiescent
asûde	quiet
asûde	silent
asûde	still
asûde	stilly
asûde	tranquil
asûde	unruffled
aş	food
aşartin	admit
aşartin	confess
aşopî	virtual
aştixwaz	peace seeker
aştî	peace
av	water
avahî	edifice
avahî	establishment
avakar	establish
avakirin	build
avakirin	construct
avakirin	establish
avakirin	found
avakirin	institute
avakirin	plant
avdan	water
avdestxane	toilet
avend	courtesy 
avêtin	chuck
avêtin	dash
avêtin	fling
avêtin	pitch
avêtin	throw
avêtin	toss
avis	pregnant
avisbûn	pregnancy
avîje	clean
avîje	cleanly
avjen	swimmer
avjenîkirin	float
avjenîkirin	swimming
avket	waterfall
avket 	waterfall
avraz	ascent
avraz	mount up
avrêj	toilet
avrêjgeh	estuary
avrû	honor 
awa	method
awa	style
awa	tune
awa	way
awarte	exception
awarte	exceptional
awat	desire
awat	hope
awat	wish
awaz	melody
awaz	tune
awêne	evident
awêne	glass
awêne	mirror
awêne	reflector
awir	point of view
awir	viewpoint
ax	ground
ax	land
ax	soil
axaftin	conversation
axaftin	talk
axatî	sovereignty
aya	nearly
aya	roughly
ayende	future
ayende	futurity
ayil	guilty
ayînperest	ascetic
aza	bold
aza	free
aza	gamy
aza	independent
azad	free
azad	independent
azadî	freedom
azadî	liberty
azadîxwaz	freedom seeker
azeb	single
azîne	method
azwerî	love
azwerî	passion
b	b
ba	rheumatism
ba	wind
babet	breed
babet	description
babet	issue
babet	kind
babet	sort
babet	subject
babet	suitable
babet	theme
babet	topic
babet	type
babidest	bankrupt
bablîsok	tornado
bac	duty
bac	tax
bade	alcohol
bafirok	kite
bahane	cover
bahane	excuse
bahane	pretext
bahaneyî	pragmatic philosophy
bahor	cold
bahorî	flu (disease)
bajar	city
bajar	town
bajarî	urban
bajarok	town
bajen	fan
bakur	north
bakur	northern
bal	attention
bal	concern
bal	focus
bal	interest
baldar	careful
baldar	chary
bale	ballet
balexane	skyscraper
balinde	eagle
balkeş	attractive
balyoz	ambassador
balyozxane	embassy
ban	housetop
ban	roof
bandor	action
bandor	effect
bandor	force
bandor	impression
bandor	influence
bandorlêkirin	affect
bane	grassland
bane	plateau
bang	call
bang dike	calls
bang kirin	scream
bange	club
bank	bank
banû	married woman
bapîr	ancestor
bapîr	gaffer
bar	responsibility
baran	rain
barandîn	raining
baranî	rainy
bare	issue
bare	subject
bare	theme
bare	topic
baregeh	camp
barîdox	condition
barîdox	position
barîdox	posture
