# 60970 peyv, 24400 werger
# Amadekar: Erdal Ronahî 
# www.ferheng.org
# Nûkirina dawî: 2005-07-29 
# 
# kurdî	türkçe

-dar	-li 
-istan	yer eki
a	dişil cins edatı
a	Kürt alfabesinin ilk harfi
Abadan	mamur
abadanî	bayındırlık
abadîn	ebediyen
abagine	billur
abagine	cam
abajûr	abajur
abal	dönme
abor	geçim
abor	iktisad
aborandin	geçindirmek
aboriya xerîdariyê	tüketim ekonomisi
aborî	ekonomi
aborî	geçim
aborî	iktisat
aborî	maîşet
aborîn	geçinmek
aborînas	ekonomist
aborînas	iktisatçı
aborîzan	ekonomist
aborîzan	iktisatçı
aborzan	ekonomist
aborzan	iktisatçı
acente	acente
aciz	aciz
aciz	çaresiz
aciz	güçsüz
aciz	zayıf
aciz kirin	kızdırmak
aciz kirin	rahatsız etmek
acizbûn	aciz olmak
acizbûn	bıkmak
acizbûn	rahatsız olmak
acizbûn	usanmak
acizkirin	kızdırmak
acizkirin	rahatsız etmek
acûr	acur
acûr	bir cins salatalık
acûr	kiremit
adan	bereketli
adan	besin
adan	mümbit
adan	süt ürünleri
adan	verimli
adan lê bûn	bereketlenmek
adanî	bereket
adanî	bereketlilik
adanî	randıman
adanî	verim
adanî	verimli
adanî	verimlilik
adanlêbûn	bereketlenmek
adar	Mart ayı
ade	ısırgan böcekler
ade	sırnaşık
ade	şırnaşık
ade	şirret
ade	yabancı ot
ade bûn	sırnaşmak
ade kirin	yabancı otlardan temizlemek
adeb	iltihap
adebûn	şırnaşmak
adekirin	yabancı otlardan temizlemek
adem	adam
adem	insan
adet	adet
adet	töre
adetî	normal
adetî	töreye uygun
adû	ısırgan böcekler
afat	afet
aferande	eser
aferande	yapıt
aferandin	meydana getirmek
aferandin	türetmek
aferandin	yaratmak
aferandinerayî	yaradılış
aferîde	canlı
aferîde	mahluk
aferîde	yaratık
aferîn	aferin
aferîn	varol
aferîndêr	türetici
aferîndêr	yaratıcı
aferînek	karakter
aferînî	seciye
afir	hayvan yemeği
afir	yalak
afir	yemlik
afiran	yaratım
afirande	eser
afirande	yapıt
afirandin	meydana getirmek
afirandin	türetmek
afirandin	yaratmak
afirandinêr	yaradılış
afirandîn	yaratılmak
afirîde	yaratık
afirîn	meydana gelmek
afirîn	oluşmak
afirîndêr	türetici
afirîndêr	yaratıcı
afirîner	yaratıcı
afîş	afiş
afra	güreş
